name,url
Joker,https://static.wikia.nocookie.net/balatrogame/images/e/ef/Joker.png/revision/latest/scale-to-width-down/80?cb=20230925003651
Greedy Joker,https://static.wikia.nocookie.net/balatrogame/images/4/43/Greedy_Joker.png/revision/latest/scale-to-width-down/80?cb=20240320232231
Lusty Joker,https://static.wikia.nocookie.net/balatrogame/images/f/fd/Lusty_Joker.png/revision/latest/scale-to-width-down/80?cb=20240320232232
Wrathful Joker,https://static.wikia.nocookie.net/balatrogame/images/7/7b/Wrathful_Joker.png/revision/latest/scale-to-width-down/80?cb=20240320232232
Gluttonous Joker,https://static.wikia.nocookie.net/balatrogame/images/a/ac/Gluttonous_Joker.png/revision/latest/scale-to-width-down/80?cb=20240320232233
Jolly Joker,https://static.wikia.nocookie.net/balatrogame/images/4/40/Jolly_Joker.png/revision/latest/scale-to-width-down/80?cb=20240320232234
Zany Joker,https://static.wikia.nocookie.net/balatrogame/images/4/45/Zany_Joker.png/revision/latest/scale-to-width-down/80?cb=20240320232235
Mad Joker,https://static.wikia.nocookie.net/balatrogame/images/6/6d/Mad_Joker.png/revision/latest/scale-to-width-down/80?cb=20240320232236
Crazy Joker,https://static.wikia.nocookie.net/balatrogame/images/4/4d/Crazy_Joker.png/revision/latest/scale-to-width-down/80?cb=20240320232255
Droll Joker,https://static.wikia.nocookie.net/balatrogame/images/9/9c/Droll_Joker.png/revision/latest/scale-to-width-down/80?cb=20240320232533
Sly Joker,https://static.wikia.nocookie.net/balatrogame/images/4/4e/Sly_Joker.png/revision/latest/scale-to-width-down/80?cb=20240320232256
Wily Joker,https://static.wikia.nocookie.net/balatrogame/images/4/4d/Wily_Joker.png/revision/latest/scale-to-width-down/80?cb=20240320232256
Clever Joker,https://static.wikia.nocookie.net/balatrogame/images/6/6a/Clever_Joker.png/revision/latest/scale-to-width-down/80?cb=20240320232257
Devious Joker,https://static.wikia.nocookie.net/balatrogame/images/4/4a/Devious_Joker.png/revision/latest/scale-to-width-down/80?cb=20240320232257
Crafty Joker,https://static.wikia.nocookie.net/balatrogame/images/7/7f/Crafty_Joker.png/revision/latest/scale-to-width-down/80?cb=20240320232258
Half Joker,https://static.wikia.nocookie.net/balatrogame/images/a/a0/Half_Joker.png/revision/latest/scale-to-width-down/80?cb=20240316232139
Joker Stencil,https://static.wikia.nocookie.net/balatrogame/images/2/2e/Joker_Stencil.png/revision/latest/scale-to-width-down/80?cb=20230925030255
Four Fingers,https://static.wikia.nocookie.net/balatrogame/images/f/fd/Four_Fingers.png/revision/latest/scale-to-width-down/80?cb=20230925031728
Mime,https://static.wikia.nocookie.net/balatrogame/images/6/65/Mime.png/revision/latest/scale-to-width-down/80?cb=20230925010010
Credit Card,https://static.wikia.nocookie.net/balatrogame/images/a/aa/Credit_Card.png/revision/latest/scale-to-width-down/80?cb=20230925010140
Ceremonial Dagger,https://static.wikia.nocookie.net/balatrogame/images/7/76/Ceremonial_Dagger.png/revision/latest/scale-to-width-down/80?cb=20230925030728
Banner,https://static.wikia.nocookie.net/balatrogame/images/8/87/Banner.png/revision/latest/scale-to-width-down/80?cb=20230925010658
